Kihnu postipunkt (Rahvamaja),58.132289,23.982302
Tallinna Tammsaare Maxima XX pakiautomaat,59.408964,24.675657
Kiviõli postkontor,59.356736,26.975619
Tartu Ujula Coop Konsumi pakiautomaat,58.386338,26.724305
Sonda postipunkt,59.350016,26.845085
Tartu Veeriku Selveri pakiautomaat,58.37635,26.697007
Tartu Lõunakeskuse pakiautomaat,58.358285,26.678577
Pärnu Kaubamajaka pakiautomaat,58.371106,24.550329
Tartu Rebase Rimi pakiautomaat,58.368345,26.739126
Tartu Karete Coop Konsumi pakiautomaat,58.34994,26.723909
Tartu Anne Selveri pakiautomaat,58.368422,26.766639
Tartu Vahi Selveri pakiautomaat,58.401726,26.720767
Kvartali keskuse postkontor,58.377225,26.729174
Tartu Eedeni pakiautomaat,58.373779,26.74993
Eedeni postkontor,58.373434,26.748826
Kadaka postipunkt (kpl Autovärvid),59.401636,24.647783
Risti Coop kaupluse pakiautomaat,58.998289,24.056862
Tihemetsa postipunkt,58.14929,25.044483
Elva Arbimäe Coop Konsumi pakiautomaat,58.234052,26.414854
Rakvere Turutare pakiautomaat,59.347187,26.364466
Häädemeeste postkontor,58.082205,24.501509
Tallinna Marienthali keskuse pakiautomaat,59.422699,24.697158
Nurmenuku postkontor,59.413873,24.654743
Tallinna Rocca al Mare pakiautomaat,59.426429,24.653359
Tallinna T1 Keskuse pakiautomaat,59.424749,24.796426
Tallinna Õismäe Maxima XX pakiautomaat,59.411406,24.6476
Tallinna Akadeemia Coop Konsumi pakiautomaat,59.40337,24.655613
Tallinna Stockmanni pakiautomaat,59.4317,24.76118
Saue Grossi pakiautomaat,59.322081,24.556448
Uuemõisa Coop Konsumi pakiautomaat,58.940535,23.582103
Tallinna Linnamäe Maxima XXX pakiautomaat,59.450026,24.880353
Käina Coop Konsumi pakiautomaat,58.831447,22.774117
Tallinna Läänemere Selveri pakiautomaat,59.452606,24.874099
Viimsi Rimi pakiautomaat,59.50565,24.827405
Aruküla Coop Konsumi pakiautomaat,59.370973,25.078314
Tabasalu postkontor,59.430059,24.543648
Tabasalu Rimi pakiautomaat,59.429912,24.543398
Saku postkontor,59.299626,24.658406
Kose postkontor (Harju),59.186915,25.163287
Pinna postipunkt (Minuarvuti.ee kauplus),59.434125,24.835843
Tallinna Männiku Rimi pakiautomaat,59.371964,24.716356
Toompea postkontor,59.436081,24.739044
